Client_ID,Company_Name,Industry,Region,Plan,Lead_Source,Account_Age_Months,Contract_Length_Months,Monthly_Usage_Score,Support_Tickets_Last30Days,Payment_Delay_Days,Monthly_Revenue_USD,Last_Renewal_Date,Churn_Probability,Risk_Category,Renewal_Status
CL00001,Pioneer Solutions,Healthcare,South,Standard,Inbound,14,12,57.0,12,4,3419.66,2025-09-03,0.408,High,Yes
CL00002,Apex Services,Construction,South,Standard,Partner,11,6,48.1,7,15,2701.27,2024-05-19,0.681,High,No
CL00003,Prime Labs,Education,West,Basic,Inbound,16,6,25.1,3,13,1329.68,2026-02-07,0.753,High,No
CL00004,Vertex Systems,Finance,South,Premium,Referral,3,24,66.0,4,14,4769.65,2025-08-26,0.113,Low,Yes
CL00005,Orion Solutions,IT Services,Central,Standard,Referral,38,12,47.4,8,36,2597.3,2024-09-04,0.556,High,No
CL00006,Pioneer Services,IT Services,North,Enterprise,Outbound,18,36,68.6,4,35,8159.64,2025-12-05,0.081,Low,Yes
CL00007,Quantum Solutions,IT Services,West,Basic,Outbound,41,12,37.0,6,19,1257.02,2024-03-28,0.468,High,Yes
CL00008,Crest Technologies,Telecom,West,Premium,Inbound,16,12,65.6,5,13,4675.09,2024-03-05,0.215,Medium,Yes
CL00009,Apex Industries,Finance,North,Premium,Inbound,24,24,66.4,6,5,3964.17,2024-10-20,0.113,Low,Yes
CL00010,Nova Labs,Logistics,South,Premium,Outbound,30,12,76.0,2,2,3113.71,2024-05-11,0.074,Low,No
CL00011,Vertex Logistics,IT Services,North,Enterprise,Referral,8,24,72.0,13,21,6801.93,2025-10-17,0.198,Medium,Yes
CL00012,Crest Industries,Construction,West,Premium,Referral,29,12,61.4,6,14,5208.6,2024-12-03,0.199,Medium,Yes
CL00013,Quantum Labs,Telecom,East,Enterprise,Marketplace,12,12,78.4,4,6,8408.21,2025-05-24,0.058,Low,Yes
CL00014,Orion Manufacturing,Manufacturing,East,Standard,Inbound,10,12,43.7,6,46,2790.04,2025-10-19,0.761,High,No
CL00015,Orion Logistics,Manufacturing,North,Standard,Event,27,12,51.9,9,8,2313.08,2024-06-17,0.21,Medium,Yes
CL00016,Green Labs,Manufacturing,North,Basic,Event,13,12,48.0,5,48,1671.97,2026-02-06,0.724,High,No
CL00017,Sky Healthcare,Healthcare,North,Basic,Inbound,43,6,39.2,5,25,934.69,2025-06-16,0.497,High,No
CL00018,Prime Industries,Finance,South,Standard,Partner,17,24,56.7,5,11,2561.72,2024-04-14,0.123,Low,Yes
CL00019,Omni Services,Retail,East,Basic,Referral,43,6,26.5,6,6,1017.04,2025-03-27,0.591,High,Yes
CL00020,Green Holdings,Manufacturing,West,Standard,Partner,34,6,74.6,3,14,2431.64,2025-11-23,0.11,Low,Yes
CL00021,Prime Systems,Finance,West,Basic,Outbound,6,6,31.2,3,3,1759.36,2025-12-13,0.532,High,Yes
CL00022,Vertex Holdings,IT Services,South,Basic,Event,22,6,21.0,7,25,1306.36,2025-08-25,0.739,High,No
CL00023,Nova Solutions,Manufacturing,Central,Enterprise,Referral,23,24,83.3,5,22,7093.04,2026-02-05,0.051,Low,Yes
CL00024,Green Solutions,Healthcare,West,Basic,Partner,29,6,35.6,4,4,1278.05,2025-02-25,0.693,High,No
CL00025,Blue Holdings,Retail,Central,Premium,Referral,13,24,58.4,10,14,3576.28,2024-12-17,0.284,Medium,Yes
CL00026,Crest Enterprises,Education,East,Basic,Event,6,6,26.5,8,13,1162.8,2024-08-06,0.825,High,No
CL00027,Apex Services,Manufacturing,South,Enterprise,Outbound,32,12,95.5,4,35,4491.09,2025-01-25,0.069,Low,Yes
CL00028,Sky Logistics,Finance,North,Enterprise,Inbound,11,12,80.3,7,6,8961.0,2025-11-13,0.056,Low,Yes
CL00029,Nova Technologies,Finance,West,Premium,Inbound,40,12,72.6,4,13,4898.97,2024-04-06,0.087,Low,Yes
CL00030,Nova Logistics,IT Services,North,Premium,Outbound,21,12,70.0,9,1,5622.4,2024-08-08,0.167,Low,Yes
CL00031,Prime Manufacturing,Finance,South,Basic,Inbound,40,12,42.2,7,5,1727.94,2026-02-05,0.47,High,No
CL00032,Crest Holdings,Manufacturing,East,Enterprise,Marketplace,22,12,89.8,5,16,7183.34,2025-09-25,0.042,Low,Yes
CL00033,Crest Labs,IT Services,East,Enterprise,Referral,12,36,75.0,5,22,7909.01,2024-09-17,0.066,Low,Yes
CL00034,Orion Solutions,Construction,East,Enterprise,Marketplace,25,24,51.5,12,8,4870.17,2025-10-30,0.279,Medium,Yes
CL00035,Apex Manufacturing,Construction,North,Premium,Inbound,18,12,69.4,3,3,3888.35,2024-06-11,0.044,Low,Yes
CL00036,Vertex Enterprises,Telecom,South,Standard,Event,36,24,61.0,3,19,4770.23,2025-06-27,0.066,Low,Yes
CL00037,Nova Labs,Healthcare,East,Enterprise,Inbound,49,36,75.3,4,8,8799.48,2024-07-21,0.009,Low,Yes
CL00038,Nova Technologies,IT Services,Central,Standard,Inbound,26,6,61.6,9,41,2254.35,2025-03-20,0.681,High,No
CL00039,Prime Networks,Logistics,West,Premium,Event,17,36,60.6,6,12,4038.23,2025-06-02,0.069,Low,Yes
CL00040,Pioneer Holdings,Retail,Central,Basic,Inbound,49,3,35.2,10,38,698.64,2025-08-15,0.828,High,No
CL00041,Omni Holdings,IT Services,West,Enterprise,Inbound,11,24,76.4,6,22,10947.64,2025-12-19,0.136,Low,Yes
CL00042,Blue Labs,Retail,East,Basic,Referral,18,12,27.9,3,8,1583.09,2025-09-28,0.493,High,No
CL00043,Pioneer Enterprises,IT Services,North,Standard,Referral,21,12,70.3,2,8,2503.76,2024-10-01,0.109,Low,No
CL00044,Orion Manufacturing,Energy,West,Premium,Inbound,24,12,44.1,7,3,3582.4,2025-11-03,0.202,Medium,Yes
CL00045,Pioneer Solutions,Manufacturing,East,Premium,Partner,30,12,91.3,1,2,3767.25,2024-04-12,0.032,Low,Yes
CL00046,Crest Manufacturing,Logistics,East,Premium,Inbound,51,36,75.5,5,16,3523.11,2025-08-17,0.025,Low,Yes
CL00047,Omni Logistics,Healthcare,East,Standard,Referral,13,12,30.7,5,24,2863.71,2025-02-13,0.673,High,No
CL00048,Orion Labs,Finance,East,Basic,Inbound,2,3,36.3,6,53,1508.19,2025-01-12,0.933,High,No
CL00049,Omni Networks,Finance,South,Premium,Outbound,27,24,64.0,2,22,4577.47,2025-07-22,0.094,Low,Yes
CL00050,Green Enterprises,Manufacturing,East,Enterprise,Inbound,13,48,77.7,14,7,7737.33,2024-04-11,0.031,Low,Yes
CL00051,Pioneer Services,Construction,North,Premium,Event,15,12,47.1,6,14,3212.84,2025-11-25,0.489,High,Yes
CL00052,Quantum Labs,Education,West,Standard,Partner,11,12,48.4,2,22,2377.18,2024-09-03,0.488,High,Yes
CL00053,Pioneer Holdings,Energy,North,Enterprise,Referral,43,36,69.5,6,8,8418.75,2025-10-13,0.026,Low,Yes
CL00054,Apex Labs,Energy,North,Standard,Event,14,12,40.1,4,5,1704.92,2024-10-19,0.327,Medium,Yes
CL00055,Apex Holdings,Finance,South,Standard,Inbound,27,12,43.5,4,3,3314.28,2025-08-15,0.37,High,No
CL00056,Green Enterprises,Energy,East,Standard,Partner,31,24,60.0,4,4,2269.85,2025-12-29,0.096,Low,Yes
CL00057,Nova Labs,IT Services,South,Standard,Referral,27,6,35.6,4,13,2419.06,2025-07-15,0.542,High,No
CL00058,Crest Services,Manufacturing,South,Premium,Partner,14,12,68.7,8,16,6616.57,2024-08-16,0.292,Medium,Yes
CL00059,Blue Labs,IT Services,East,Standard,Outbound,3,24,65.6,11,6,2842.6,2025-07-21,0.2,Medium,Yes
CL00060,Pioneer Networks,Healthcare,South,Standard,Inbound,6,12,49.4,4,17,2978.54,2025-07-22,0.293,Medium,Yes
CL00061,Green Manufacturing,Healthcare,Central,Standard,Referral,19,12,52.6,5,4,2174.38,2026-01-01,0.154,Low,Yes
CL00062,Sky Systems,Manufacturing,Central,Basic,Referral,29,6,50.0,10,43,1051.3,2024-09-01,0.737,High,No
CL00063,Prime Systems,Telecom,East,Premium,Referral,46,24,58.5,4,8,6401.96,2026-02-03,0.084,Low,Yes
CL00064,Vertex Services,Healthcare,South,Standard,Outbound,5,12,44.8,5,12,4675.19,2025-07-11,0.49,High,Yes
CL00065,Quantum Logistics,Manufacturing,West,Basic,Referral,24,12,30.1,10,39,1519.72,2024-10-16,0.873,High,No
CL00066,Prime Services,Finance,North,Premium,Partner,15,24,80.0,3,6,2484.42,2025-03-05,0.028,Low,Yes
CL00067,Crest Technologies,IT Services,South,Premium,Referral,32,12,83.5,6,18,3832.41,2025-09-05,0.144,Low,Yes
CL00068,Crest Technologies,Telecom,South,Premium,Inbound,11,24,50.2,7,21,4412.55,2024-04-01,0.483,High,Yes
CL00069,Blue Labs,IT Services,Central,Standard,Referral,29,12,68.1,8,21,2540.13,2024-10-29,0.174,Low,Yes
CL00070,Omni Logistics,Construction,North,Enterprise,Marketplace,1,36,78.8,7,10,6914.57,2025-12-05,0.037,Low,Yes
CL00071,Sky Solutions,Education,East,Enterprise,Marketplace,42,24,88.6,9,12,4908.8,2024-05-15,0.027,Low,Yes
CL00072,Apex Solutions,Manufacturing,West,Premium,Outbound,4,12,67.6,5,35,6791.93,2025-03-18,0.296,Medium,No
CL00073,Omni Manufacturing,IT Services,East,Premium,Inbound,48,24,67.5,7,2,5156.57,2025-04-22,0.037,Low,Yes
CL00074,Omni Manufacturing,Telecom,North,Standard,Referral,6,12,68.7,4,1,2181.33,2024-09-23,0.072,Low,Yes
CL00075,Green Healthcare,Logistics,Central,Enterprise,Marketplace,11,36,83.4,5,25,6773.15,2024-12-18,0.07,Low,Yes
CL00076,Nova Technologies,Education,East,Standard,Inbound,32,12,74.9,5,24,2373.88,2025-12-22,0.185,Medium,Yes
CL00077,Green Healthcare,Education,East,Basic,Referral,29,3,44.5,2,22,978.84,2024-04-11,0.543,High,Yes
CL00078,Sky Logistics,IT Services,South,Standard,Outbound,32,12,57.8,4,17,2726.9,2024-06-23,0.246,Medium,Yes
CL00079,Prime Logistics,Healthcare,East,Basic,Referral,44,12,22.9,7,11,1401.47,2025-12-15,0.337,Medium,No
CL00080,Apex Manufacturing,IT Services,South,Enterprise,Inbound,42,24,71.0,7,25,7980.12,2024-07-06,0.072,Low,Yes
CL00081,Orion Solutions,Telecom,North,Premium,Partner,26,24,49.8,4,13,6905.7,2024-07-03,0.131,Low,Yes
CL00082,Pioneer Logistics,Logistics,North,Premium,Inbound,14,24,62.4,4,6,2218.75,2025-04-28,0.126,Low,Yes
CL00083,Prime Manufacturing,Healthcare,West,Premium,Inbound,17,12,75.1,4,16,3632.53,2026-02-14,0.124,Low,Yes
CL00084,Blue Solutions,IT Services,South,Standard,Referral,23,12,56.0,5,15,3236.57,2025-01-18,0.402,High,No
CL00085,Prime Technologies,Healthcare,North,Basic,Outbound,19,3,49.3,12,12,1085.48,2025-03-14,0.793,High,Yes
CL00086,Omni Networks,Healthcare,East,Premium,Referral,27,24,68.1,6,9,4108.73,2025-10-22,0.054,Low,Yes
CL00087,Apex Services,Education,West,Premium,Event,27,12,55.2,8,58,4874.06,2025-07-19,0.618,High,No
CL00088,Orion Enterprises,Logistics,North,Standard,Referral,12,6,54.1,8,3,2689.57,2026-02-23,0.419,High,Yes
CL00089,Quantum Systems,Energy,East,Premium,Inbound,6,24,66.7,5,18,4408.99,2025-05-19,0.103,Low,Yes
CL00090,Quantum Solutions,Retail,North,Standard,Outbound,22,12,51.7,12,11,3054.99,2024-12-29,0.409,High,No
CL00091,Pioneer Enterprises,IT Services,North,Standard,Outbound,22,12,57.8,3,20,2288.39,2024-10-27,0.235,Medium,Yes
CL00092,Pioneer Logistics,Logistics,North,Basic,Inbound,31,6,28.8,6,89,1330.46,2026-02-16,0.961,High,Yes
CL00093,Crest Labs,Education,West,Standard,Inbound,29,12,42.8,4,39,2319.55,2025-10-09,0.472,High,Yes
CL00094,Omni Holdings,Finance,North,Enterprise,Inbound,5,24,100.0,1,13,7087.26,2025-10-17,0.014,Low,Yes
CL00095,Omni Logistics,Education,North,Enterprise,Inbound,13,36,84.7,2,35,5487.99,2024-07-17,0.041,Low,Yes
